text,label
#LoMásLeído? Greta Thunberg llega a Madrid y provoca el caos en Chamartín LINK,0
"Tanto lo de ""nazi"" como lo de ""panadero"" son ejemplos. Me refiero a las disputas entre civiles que parece que deben acabar con violencia.",0
@USER Cómo podrías cuantificarlas si no existen formalmente ?? Eres muy ignorante y descuidado cuando la Plata no es tuya ladronzuelo,0
@USER PERO NO ERA MI HIJO MARICÓN?,0
"Asegura @USER, jefa de @USER, que la capital del país el #machismo y el #acoso hacia las #mujeres siempre ha estado presente; es preciso aceptarlo para erradicarlo, advirtió. LINK",0
Para la wea Maripán culiao amateur,0
Hay tantos weones tan pencas para hacer stream y tienen visitas wn …. O nisiquiera interacciona con su publico y los qlos tienen visitas …. Que paja wn 🙂 en fin… asi con la hipotenusa,0
POR QUÉ SALEN ANUNCIOS DEL SERVICIO MILITAR EN SPOTIFY CTM BASTASAAAA NADIE QUIERE ENTRAR A ESA WEA,0
@USER @USER Sipos aweonao.,0
Guarra se folla a Papá Noel en un autobús LINK LINK,0
"@USER Bueno,  mujer, no te lo tomes tan a pecho. Puede que sean simplemente un poco inmaduros y no sepan lo que hacen. Ya sabes, la inmadurez es así,  se vuelve la gente mu loca",0
29 remates y solo vas a meter 1 ctm LINK,0
"@USER LOS HOMBRES NO VIOLAMOS, QUE RIDICULA OPINIÓN 
A LOS VIOLADORES Y VIOLADORAS SE LES TRATA COMO VULGAR DELINCUENTES PERO EXTRAPOLAR QUE LOS HOMBRES VIOLAN Y TAMOOCO INCLUIR A MUJERES QUE VIOLAN ES SESGADO.
LA DERECHA NO APOYA A ORREGO, ESTÁ VOTANDO EN CONTRA DE COMUNISTAS EXTINTOS",0
"@USER @USER @USER

Dime, donde puedo preguntar por mis cansancios, lejos de aquí. 
Dime, dónde viven los heraldos negros. Lejos de aquí. 
Y hay otra vida, sí. 
Hay un domingo que no sustice tristeza. 
Sí. Pero muy lejos de aquí.
5
M",0
"#WeekRecap » Sara Socas, la freestyler que la está rompiendo con sus rimas feministas | LINK

Nos ponemos de pie ?? ¡Esta chavala viene con todo! ?

#SlangFm #SaraSocas #freestyle LINK",0
Te cagaste en la sudaca y ahora también???? Cuando vamos a jugar por algo importante ? En el torneo local siempre te ganamos 🤷🏻‍♂️🤷🏻‍♂️,0
"@USER @USER @USER No veo ninguna mujer líder en esa foto, una designada a dedo, y la otra en pacto secreto con el gobierno..",0
"Yo llegue de Brasil a los 15. Sabia poco, alguna vez con mi papá habiamos conversado, pero como anécdota. El colegio no era tan explicito, pero teníamos el Servicio Jesuita a Refugiados. Y ahi formandonos sobre el desplazamiento (los que queriamos) aprendi muchisimo. LINK",0
"Fallecidos notificados: 5.\n\n\nMortalidad global: 0,03 %.\n\n\nPero todos los fallecidos en región africana. Probablemente personas de mayor vulnerabilidad, e infradiagnóstico/infranotificación. En esta región podría ser más elevada. LINK",0
"Para mi cumple quiero que me acompañeis a los baños árabes, que me da mucha pereza ir sola.",0
Ridícula e ignorante. Avísenle que para la filiación ni siquiera se requiere la biología. Padres adoptivos…. Habrá escuchado de esos? LINK,0
EL PAÍS\nLINK,0
"Ms de 100 inmigrantes ilegales saltan la valla de Ceuta.Vale, y?Que la salten. Y que luego sus compaeros vean como todo el esfuerzo es frustrado devolvindolos en 3 segundos por la puerta tras pasarse horas intentando saltar la valla.",0
"@USER Eso de ser Campeón de los WEONES 
SCHALPER lo lleva en la sangre 
Y tení que aceptarlo 
Yuyuniz NAMASTE CTM 🎶 
@USER 
WEÓN WEÓN 
WEÓN WEÓN 
WEÓN WEÓN 
WEÓN WEÓN 
W E O N 🎶",0
una mujer fascista que degrada a las mujeres..,0
"@USER Que lastima, realmente una gran pérdida.. Los zurdos siguen matando bajo la impunidad",0
"Estos weones quieren meterse en todo, voten por ellos no más, después no lloren LINK",0
el mcflurry de nocilla y brownie es UNA BASURA NO LO PIDAIS POR DIOS QUE COSA MAS RANCIA,0
"La norma afectará principalmente a la población migrante y refugiada venezolana, quienes, conforme al Sistema Integrado de Migraciones, a julio de este año, superan el millón de personas. @USER @USER @USER @USER @USER @USER @USER",0
@USER Mantennos al día LINK,0
Oh los culiaos buenos para hacer tiempo,0
Tú los traes por tus santos ovarios y luego pretendes cargárselos a otros. Anda y vete a la m... 🤬 LINK,0
